"Repository","Pull request number","URL","Author","State","Closed","Human author","GitHub user type","AI Disclosure","Merged","AI Disclosure evidence","HTML scrape success","HTML scrape error"
"fedify-dev/fedify","728","https://github.com/fedify-dev/fedify/pull/728","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/728 body="
"fedify-dev/fedify","727","https://github.com/fedify-dev/fedify/pull/727","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/727 body="
"fedify-dev/fedify","722","https://github.com/fedify-dev/fedify/pull/722","dahlia","closed","true","true","User","true","true","cursor pagination, collection counters, actor stream links to custom collections, and requester-aware followers-only results using `ctx.getSignedKeyOwner()`. Closes #694. ## Changes - Reworks *examples/custom-collections/main.ts* into a run...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/722 body="
"fedify-dev/fedify","726","https://github.com/fedify-dev/fedify/pull/726","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/726 body="
"fedify-dev/fedify","718","https://github.com/fedify-dev/fedify/pull/718","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/718 body="
"fedify-dev/fedify","723","https://github.com/fedify-dev/fedify/pull/723","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/723 body="
"fedify-dev/fedify","721","https://github.com/fedify-dev/fedify/pull/721","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/721 body="
"fedify-dev/fedify","715","https://github.com/fedify-dev/fedify/pull/715","dahlia","closed","true","true","User","true","true","llms.txt` and `llms-full.txt` focused by excluding high-noise pages such as the changelog, contribution guide, README, and sponsors page, while still exposing per-page Markdown actions on those pages. - Align the control with each page titl...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/715 body="
"fedify-dev/fedify","710","https://github.com/fedify-dev/fedify/pull/710","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/710 body="
"fedify-dev/fedify","717","https://github.com/fedify-dev/fedify/pull/717","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/717 body="
"fedify-dev/fedify","695","https://github.com/fedify-dev/fedify/pull/695","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/695 body="
"fedify-dev/fedify","712","https://github.com/fedify-dev/fedify/pull/712","dahlia","closed","true","true","User","true","true","Claude Code plugin that bundles this skill with slash commands and specialized agents remains tracked in #489. [Agent Skills]: https://agentskills.io/ [skills-npm]: https://github.com/antfu/skills-npm [x-forwarded-fetch]: https://github.com...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/712 body="
"fedify-dev/fedify","709","https://github.com/fedify-dev/fedify/pull/709","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/709 body="
"fedify-dev/fedify","708","https://github.com/fedify-dev/fedify/pull/708","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/708 body="
"fedify-dev/fedify","707","https://github.com/fedify-dev/fedify/pull/707","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/707 body="
"fedify-dev/fedify","697","https://github.com/fedify-dev/fedify/pull/697","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/697 body="
"fedify-dev/fedify","705","https://github.com/fedify-dev/fedify/pull/705","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/705 body="
"fedify-dev/fedify","701","https://github.com/fedify-dev/fedify/pull/701","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/701 body="
"fedify-dev/fedify","698","https://github.com/fedify-dev/fedify/pull/698","2chanhaeng","closed","true","true","User","true","true","Claude Code:claude-opus-4-7","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/698 body="
"fedify-dev/fedify","688","https://github.com/fedify-dev/fedify/pull/688","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/688 body="
"fedify-dev/fedify","681","https://github.com/fedify-dev/fedify/pull/681","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/681 body="
"fedify-dev/fedify","675","https://github.com/fedify-dev/fedify/pull/675","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/675 body="
"fedify-dev/fedify","678","https://github.com/fedify-dev/fedify/pull/678","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code)","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/678 body="
"fedify-dev/fedify","680","https://github.com/fedify-dev/fedify/pull/680","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/680 body="
"fedify-dev/fedify","679","https://github.com/fedify-dev/fedify/pull/679","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/679 body="
"fedify-dev/fedify","674","https://github.com/fedify-dev/fedify/pull/674","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/674 body="
"fedify-dev/fedify","677","https://github.com/fedify-dev/fedify/pull/677","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/677 body="
"fedify-dev/fedify","672","https://github.com/fedify-dev/fedify/pull/672","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/672 body="
"fedify-dev/fedify","673","https://github.com/fedify-dev/fedify/pull/673","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/673 body="
"fedify-dev/fedify","668","https://github.com/fedify-dev/fedify/pull/668","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/668 body="
"fedify-dev/fedify","659","https://github.com/fedify-dev/fedify/pull/659","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code) Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com> Co-Authored-By: Claude Sonnet 4.6 <noreply@anthropic.com>","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/659 body="
"fedify-dev/fedify","671","https://github.com/fedify-dev/fedify/pull/671","2chanhaeng","closed","true","true","User","true","false","Claude Opus 4.6 - **`@fedify/nuxt`** — by GPT 5.4 ## Changes ### `create-integration-package` skill `.agents/skills/create-integration-package/SKILL.md` with step-by-step guide and reference templates (`package/`, `example/`, `init/`) cover...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/671 body="
"fedify-dev/fedify","669","https://github.com/fedify-dev/fedify/pull/669","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/669 body="
"fedify-dev/fedify","656","https://github.com/fedify-dev/fedify/pull/656","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/656 body="
"fedify-dev/fedify","579","https://github.com/fedify-dev/fedify/pull/579","scammo","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/579 body="
"fedify-dev/fedify","658","https://github.com/fedify-dev/fedify/pull/658","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code)","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/658 body="
"fedify-dev/fedify","652","https://github.com/fedify-dev/fedify/pull/652","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/652 body="
"fedify-dev/fedify","601","https://github.com/fedify-dev/fedify/pull/601","dodok8","closed","true","true","User","false","false","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/601 body="
"fedify-dev/fedify","650","https://github.com/fedify-dev/fedify/pull/650","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code)","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/650 body="
"fedify-dev/fedify","598","https://github.com/fedify-dev/fedify/pull/598","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code)","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/598 body="
"fedify-dev/fedify","647","https://github.com/fedify-dev/fedify/pull/647","moreal","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/647 body="
"fedify-dev/fedify","641","https://github.com/fedify-dev/fedify/pull/641","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/641 body="
"fedify-dev/fedify","640","https://github.com/fedify-dev/fedify/pull/640","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/640 body="
"fedify-dev/fedify","626","https://github.com/fedify-dev/fedify/pull/626","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/626 body="
"fedify-dev/fedify","639","https://github.com/fedify-dev/fedify/pull/639","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/639 body="
"fedify-dev/fedify","638","https://github.com/fedify-dev/fedify/pull/638","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/638 body="
"fedify-dev/fedify","636","https://github.com/fedify-dev/fedify/pull/636","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/636 body="
"fedify-dev/fedify","633","https://github.com/fedify-dev/fedify/pull/633","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/633 body="
"fedify-dev/fedify","635","https://github.com/fedify-dev/fedify/pull/635","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/635 body="
"fedify-dev/fedify","628","https://github.com/fedify-dev/fedify/pull/628","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code) Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com>","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/628 body="
"fedify-dev/fedify","631","https://github.com/fedify-dev/fedify/pull/631","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/631 body="
"fedify-dev/fedify","622","https://github.com/fedify-dev/fedify/pull/622","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/622 body="
"fedify-dev/fedify","614","https://github.com/fedify-dev/fedify/pull/614","sij411","closed","true","true","User","true","true","Claude Code](https://claude.com/claude-code) Co-Authored-By: Claude Opus 4.6 <noreply@anthropic.com>","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/614 body="
"fedify-dev/fedify","612","https://github.com/fedify-dev/fedify/pull/612","moreal","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/612 body="
"fedify-dev/fedify","611","https://github.com/fedify-dev/fedify/pull/611","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/611 body="
"fedify-dev/fedify","609","https://github.com/fedify-dev/fedify/pull/609","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/609 body="
"fedify-dev/fedify","608","https://github.com/fedify-dev/fedify/pull/608","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/608 body="
"fedify-dev/fedify","604","https://github.com/fedify-dev/fedify/pull/604","SergioChan","closed","true","true","User","false","false","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/604 body="
"fedify-dev/fedify","602","https://github.com/fedify-dev/fedify/pull/602","JetiksArt","closed","true","true","User","false","false","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/602 body="
"fedify-dev/fedify","600","https://github.com/fedify-dev/fedify/pull/600","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/600 body="
"fedify-dev/fedify","599","https://github.com/fedify-dev/fedify/pull/599","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/599 body="
"fedify-dev/fedify","597","https://github.com/fedify-dev/fedify/pull/597","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/597 body="
"fedify-dev/fedify","596","https://github.com/fedify-dev/fedify/pull/596","JetiksArt","closed","true","true","User","false","false","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/596 body="
"fedify-dev/fedify","593","https://github.com/fedify-dev/fedify/pull/593","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/593 body="
"fedify-dev/fedify","592","https://github.com/fedify-dev/fedify/pull/592","dahlia","closed","true","true","User","true","true","Claude Code and similar tools) to guide vocabulary additions with enough detail that the agent does not need to reverse-engineer the format from existing YAML files each time. ## What the skill covers - *YAML definition format* — all top-le...","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/592 body="
"fedify-dev/fedify","589","https://github.com/fedify-dev/fedify/pull/589","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/589 body="
"fedify-dev/fedify","590","https://github.com/fedify-dev/fedify/pull/590","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/590 body="
"fedify-dev/fedify","588","https://github.com/fedify-dev/fedify/pull/588","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/588 body="
"fedify-dev/fedify","574","https://github.com/fedify-dev/fedify/pull/574","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/574 body="
"fedify-dev/fedify","575","https://github.com/fedify-dev/fedify/pull/575","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/575 body="
"fedify-dev/fedify","572","https://github.com/fedify-dev/fedify/pull/572","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/572 body="
"fedify-dev/fedify","571","https://github.com/fedify-dev/fedify/pull/571","2chanhaeng","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/571 body="
"fedify-dev/fedify","568","https://github.com/fedify-dev/fedify/pull/568","dahlia","closed","true","true","User","false","true","No AI disclosure text detected","false","HTTP 406 for https://github.com/fedify-dev/fedify/pull/568 body="
